filename,SubmissionYear,source_type,text,D1__expert,D2__expert,D3__expert,D4__expert,D1,D2,D3,D4,D1_flag,D2_flag,D3_flag,D4_flag,D5_flag,D6_flag,D1_rationale,D2_rationale,D3_rationale,D4_rationale,narrative_feedback,element_score_raw
Case001_4330.pdf,2025,,Placeholder text for scoring.,4,3,3,0,4,4,2,2,,,,,,,"The submission demonstrates a thorough and iterative process for generating and comparing multiple design concepts, including brainstorming, group discussion, elimination of infeasible ideas, and use of a decision matrix with weighted criteria. The process is generally defensible and shows clear consideration of design viability.","The chosen design solution (two-pole ski-like handle) is justified with reference to multiple design requirements such as assembly time, height adaptability, force needed, and ergonomic considerations. The decision matrix scores support the choice, showing attention to most design requirements.","The plan of action includes some general steps for prototyping and sizing based on available materials and fitting the cart, but lacks detailed, structured procedures or clear testing protocols. The approach to testing is vague and experimental without explicit plans for replication or systematic evaluation.","The design blueprint is described in somewhat general terms with references to sizing and assembly, but lacks detailed, specific, and thorough presentation of design attributes. There is no clear evidence of labeled diagrams or comprehensive technical details.","This submission shows strong strengths in the generation and selection of design concepts (D1 and D2). The team effectively brainstormed multiple ideas, used a decision matrix with weighted criteria, and iteratively refined their choices. Their justification for selecting the two-pole ski-like handle is well supported by reference to key design requirements, demonstrating thoughtful consideration of usability and ergonomics.

However, the plan of action (D3) is underdeveloped, lacking clear, detailed steps for testing and evaluation. The approach is largely experimental without structured protocols or criteria for assessing effectiveness, which limits the ability to replicate or validate the design. Similarly, the design blueprint (D4) is only somewhat specific and lacks thorough detail or labeled diagrams, making it difficult to fully understand the final design attributes.

To improve, the team should develop a detailed testing plan with clear procedures and measurable criteria to evaluate the prototype’s performance. Additionally, providing comprehensive, labeled design blueprints or CAD drawings would enhance clarity and communication. Finally, documenting iterative design changes and rationale during prototyping would strengthen the overall design process documentation.",3
Case002_4330.pdf,2025,,Placeholder text for scoring.,4,3,3,0,4,4,1,2,,,,,,,The submission demonstrates a thorough and iterative process for generating and comparing multiple design concepts for both handles and materials. The use of decision matrices with weighted criteria and team member ratings shows a generally defensible approach to selecting viable designs.,"The chosen design solution (folding handles and aluminum frame) is justified with reference to the decision matrix results and expert input from zookeepers, addressing most design requirements such as strength, foldability, and durability.",There is no clear or detailed plan of action for testing or validating the design solution. The document ends abruptly with a mention of a timeline but provides no explanation of how the design will be tested or how effectiveness will be measured.,"While the submission references pictures and design concepts, the descriptions are somewhat general and lack detailed, labeled blueprints or thorough design attributes. The presentation of design attributes is incomplete and overly general.","This submission shows strong strengths in design concept generation and selection (D1 and D2). The team effectively used decision matrices with weighted criteria and multiple team member evaluations to compare various handle and material options. The inclusion of expert feedback from zookeepers further strengthens the justification for the chosen folding handle design and aluminum frame, demonstrating thoughtful consideration of design requirements.

However, the submission has notable weaknesses in the plan of action (D3) and design blueprint (D4). There is no clear or detailed testing plan provided, which limits the ability to assess how the design’s effectiveness will be validated or replicated. Additionally, while some design concepts and pictures are mentioned, the documentation lacks detailed, labeled blueprints or thorough descriptions of design attributes, making it difficult to fully understand the final design solution.

To improve, the team should develop a clear, step-by-step testing plan outlining how the design will be evaluated and refined. They should also provide detailed, labeled blueprints or diagrams with specific design attributes to enhance clarity. Finally, expanding the rationale to explicitly connect design choices to all key requirements would strengthen the justification further.",2.75
Case003_4340.pdf,2025,,Placeholder text for scoring.,4,3,4,0,4,4,1,2,,,,,,,The submission demonstrates a thorough and iterative process for generating and comparing multiple design concepts for both handles and materials. The use of decision matrices with weighted criteria and team member ratings shows a generally defensible approach to selecting viable designs.,"The chosen design solution (folding handles and aluminum frame) is justified with reference to the decision matrix results and expert input from zookeepers, addressing most design requirements such as strength, foldability, and durability.",There is no clear or detailed plan of action for testing or validating the design solution. The document ends abruptly with a 'TIMELINE: Plan of action' heading but provides no substantive testing or implementation plan.,"While the submission references pictures and design concepts, the descriptions are somewhat general and lack detailed, labeled blueprints or thorough design attributes. The presentation is incomplete and overly general in parts.","This submission shows strong strengths in design concept generation and selection (D1 and D2). The team effectively used decision matrices with weighted criteria and multiple team member inputs to compare several handle and material options. The inclusion of expert feedback further supports the justification of the chosen folding handle design and aluminum frame, demonstrating thoughtful consideration of design requirements.

However, the submission has notable weaknesses in planning and communication. There is no clear or detailed plan of action for testing or validating the design solution (D3), which limits the ability to assess the design’s effectiveness or support replication. Additionally, the design blueprint (D4) lacks sufficient detail and specificity; while concepts and pictures are mentioned, the documentation does not provide thorough, labeled diagrams or comprehensive descriptions of the final design attributes.

To improve, the team should develop a detailed testing plan outlining specific steps, criteria, and methods for evaluating the design’s performance. Enhancing the design blueprint with clear, labeled diagrams and detailed descriptions of components would strengthen communication. Finally, explicitly linking design attributes to requirements in the blueprint would provide a more complete and professional presentation.",2.75
Case004_1300.pdf,2025,,Placeholder text for scoring.,1,3,0,0,4,4,1,1,,,,,,,"The submission presents four distinct design concepts with detailed descriptions and a decision matrix to compare them. The process is thorough and iterative, involving brainstorming, individual idea generation, group discussion, and evaluation. However, while generally defensible, the process lacks explicit iterative refinement cycles or deeper exploration beyond the initial four concepts.","The chosen Lever Arm design is justified with clear reference to design requirements such as simplicity, cost, strength, removability, and aesthetics. The comparison to other concepts, especially the Leg Clamps, strengthens the justification. Some minor design requirements like vibration reduction and adjustability are acknowledged as trade-offs.","There is no explicit plan of action or testing methodology described. The document mentions limited time for building, testing, and changes but does not provide any structured or detailed plan for how the design will be tested or validated.","The document lacks any detailed design blueprint, sketches, diagrams, or labeled components. The descriptions of the design are textual and somewhat detailed but do not provide the thorough, specific, and visual detail expected for a higher score.","This submission demonstrates strong design concept generation and selection (D1 and D2). The team effectively brainstormed multiple solutions and used a decision matrix to compare them, showing thoughtful consideration of design requirements such as strength, removability, and aesthetics. The justification for choosing the Lever Arm design is clear and well supported by comparisons to alternatives, highlighting the design’s simplicity and feasibility.

However, the submission has notable weaknesses in planning and communication. There is no clear or detailed plan of action for testing the design (D3), which limits the ability to evaluate the design’s effectiveness or support replication. Additionally, the absence of any design blueprints, sketches, or labeled diagrams (D4) reduces clarity and thoroughness in communicating the chosen solution’s attributes.

To improve, the team should develop a detailed testing plan outlining specific steps, criteria, and metrics for evaluating the design’s performance. Including labeled sketches or CAD drawings would enhance the design blueprint and provide clearer communication. Finally, iterative refinement cycles with documented feedback could strengthen the design concept generation process further.",2.5
Case005_0100.pdf,2025,,Placeholder text for scoring.,0,1,0,0,2,1,0,1,,,,,,,"The submission lists multiple concepts and design features, indicating some exploration of alternatives. However, the process is overly general, lacks clear iteration or systematic comparison, and does not demonstrate a defensible approach to selecting among solutions.",There is no clear explanation or justification for the chosen design solution with respect to design requirements. The document lists features but does not connect them explicitly to requirements or explain why one solution was selected.,No plan of action or testing strategy is described. There is no evidence of how the design will be tested or how others could replicate or evaluate its effectiveness.,"The design attributes are presented in a sparse and fragmented manner, mostly as lists of features without detailed, specific, or thorough descriptions. There are no clear blueprints, labeled diagrams, or comprehensive design details.","This submission demonstrates some initial effort in generating multiple design concepts, listing various lighting features and functions, which is a positive start for design concept generation (D1). However, the process lacks depth, iteration, and a clear method for comparing or refining these ideas. The design solution choice (D2) is weakly supported, as there is no explicit justification or connection to design requirements explaining why a particular concept was selected.

Significant gaps exist in the plan of action (D3), with no evidence of testing strategies or procedures to validate the design’s effectiveness. This omission limits the ability to assess or replicate the design’s performance. Additionally, the design blueprint (D4) is underdeveloped; the attributes are presented in a fragmented and general manner without detailed descriptions or labeled diagrams, making it difficult to fully understand the design.

To improve, the student should develop a clear, iterative process for generating and comparing design concepts, explicitly justify the chosen solution with reference to requirements, and create a detailed plan for testing the design. Including comprehensive, labeled blueprints or diagrams with thorough explanations would also enhance clarity and communication of the design.",1
Case006_0000.pdf,2025,,Placeholder text for scoring.,0,0,0,0,2,3,0,1,,,,,,,"The submission discusses a single design concept focused on AI for cancer detection, with some general reasoning about specialization and diagnosis benefits. However, it lacks evidence of multiple design ideas or iterative comparison, making the process partial and only somewhat defensible.","The chosen design solution is explained with reference to some design requirements such as improving diagnosis speed and accuracy, and addressing healthcare communication issues. However, justification is limited and does not comprehensively address all requirements or compare alternatives.",There is no evidence of a plan of action or testing strategy described in the submission.,"The design attributes are described in a sparse and general manner without specific, detailed, or thorough presentation. No blueprint, diagram, or detailed design documentation is provided.","This submission presents a focused design concept centered on using AI to improve cancer detection, highlighting potential benefits such as specialization in diagnosis and reducing healthcare personnel workload (D1, D2). The explanation shows some understanding of relevant design requirements, including accuracy and communication improvements, which strengthens the justification for the chosen solution. However, the design concept generation lacks breadth and iteration, as only one main idea is explored without comparison to alternatives, limiting the defensibility of the approach (D1).

Significant weaknesses are evident in the absence of a clear plan of action or testing methodology (D3), which is critical for validating the design's effectiveness. Additionally, the design blueprint is minimal and lacks detail, specificity, or visual aids that would clarify the solution's attributes and implementation (D4). To improve, the student should develop multiple design alternatives and iteratively compare them to strengthen the concept generation process. They should also provide a detailed, step-by-step testing plan to demonstrate how the design will be evaluated. Finally, including detailed design documentation or diagrams would enhance clarity and support replication and understanding of the solution.",1.5
Case007_0000.pdf,2025,,Placeholder text for scoring.,0,0,0,0,2,3,0,1,,,,,,,"The submission discusses a single design concept focused on AI for cancer detection without exploring multiple alternative solutions or iterations, making the process partial and only somewhat defensible.","The chosen AI design solution is explained with some reference to design requirements such as improving diagnosis accuracy and healthcare communication, but justification lacks depth and comparison to alternatives.",No plan of action or testing methodology is described to support replication or evaluation of the design solution.,"Attributes of the design solution are described in a very general and sparse manner without detailed or specific design blueprints, diagrams, or thorough explanations.","This submission demonstrates an initial understanding of the potential benefits of using AI for cancer detection, particularly emphasizing specialization in diagnosis and improving healthcare communication (D1, D2). The discussion highlights relevant design considerations such as focusing on cancer-specific data and the advantages of AI diagnosis over therapy, which shows some connection to design requirements. However, the design concept generation is limited to a single idea without exploration of alternatives or iterative refinement, which weakens the defensibility of the design process (D1).

Significant gaps exist in the plan of action and design blueprint. There is no clear or detailed testing plan provided, making it impossible to assess how the design’s effectiveness would be evaluated or replicated (D3). Additionally, the description of the design attributes is sparse and lacks specificity or thoroughness, with no supporting diagrams or detailed explanations to clarify the solution (D4). To improve, the student should develop multiple design concepts and compare them, provide a detailed and replicable testing plan, and create comprehensive design blueprints or diagrams with clear labels and specifics. These steps will strengthen the overall design documentation and support a more robust engineering process.",1.5
Case008_1110.pdf,2025,,Placeholder text for scoring.,1,1,1,0,4,4,3,3,,,,,,,"The student presented four distinct design ideas with descriptions and rough sketches, showing a thorough and generally iterative process. The comparison table with weighted scores against design requirements demonstrates a generally defensible approach to selecting the best design, indicating viability is likely.","The chosen design (Design 1) is justified by referencing a comparison of scores across multiple design requirements, showing attention to most if not all requirements. However, the justification is somewhat brief and could be more explicitly tied to each requirement.","The plan of action is outlined week-by-week with clear tasks, which provides a reasonable framework for development and testing. However, it lacks detailed procedures or criteria for testing effectiveness, limiting its clarity for replication by others.","The design blueprint includes a labeled sketch and some details about the programming nature of the project, but lacks thoroughness in manufacturing methods and supply details. The blueprint is somewhat specific but not fully detailed or comprehensive.","This submission demonstrates strong design concept generation and selection (D1, D2). The student developed four distinct design ideas, each with descriptions and sketches, and used a weighted scoring system to compare them against design requirements. This approach shows thoughtful consideration and a generally defensible process, leading to a clear choice of the highest-scoring design. The justification for the chosen design references multiple requirements, which strengthens the rationale.

However, the plan of action (D3) lacks sufficient detail to fully support replication and testing by others. While weekly tasks are outlined, the absence of specific testing methods or success criteria limits the plan’s effectiveness. Additionally, the design blueprint (D4) provides some labeled sketches and basic details but is not thorough or detailed enough to fully communicate the design attributes.

To improve, the student should expand the testing plan to include explicit testing procedures and criteria for success. The design blueprint would benefit from more detailed annotations and a clearer description of implementation steps. Finally, enhancing the justification by explicitly linking design scores to each requirement would strengthen the design choice rationale.",3.5
Case009_3403.pdf,2025,,Placeholder text for scoring.,3,4,0,3,3,3,1,1,,,,,,,"The submission presents multiple design ideas (five distinct concepts) with brief descriptions, showing an adequate and generally iterative process. However, the process lacks depth in analysis and comparison, and the rationale for iteration or refinement is not clearly documented.","The design solution choice is somewhat explained with reference to some design requirements, as evidenced by the weighted scoring table comparing options. However, the justification is limited and does not fully address all design requirements or provide a strong rationale for the final choice.","There is no clear or detailed plan of action for testing or replication. The document lacks any description of how the design will be tested or how others could repeat the process, making it insufficient for supporting testing.","The design blueprint is minimal, with only a brief mention of a 'Final Design' sketch dated 12/6 but no detailed or labeled drawings, dimensions, or materials provided. The presentation is sparse and lacks specifics necessary for thorough understanding.","This submission demonstrates strength in generating multiple design concepts, presenting five distinct ideas that show an adequate level of iteration and exploration (D1). The inclusion of a weighted scoring table to compare options indicates some effort to evaluate alternatives, which supports the design solution choice (D2). However, the justification for the chosen design is limited and does not comprehensively address all design requirements, leaving room for a more thorough explanation.

Key weaknesses lie in the lack of a clear plan of action for testing (D3) and the minimal detail in the design blueprint (D4). Without a structured testing plan, it is difficult to assess how the design’s effectiveness will be evaluated or replicated by others. Additionally, the blueprint lacks detailed sketches, labels, and material specifications, which hinders clear communication of the final design.

To improve, the team should develop a detailed testing plan outlining specific steps and criteria for evaluating the design’s performance. Enhancing the design blueprint with labeled, dimensioned drawings and material details will improve clarity. Finally, expanding the justification for the chosen solution by explicitly linking it to all design requirements will strengthen the overall design selection process.",2
Case010_4134.docx,2025,,Placeholder text for scoring.,4,1,3,4,3,3,2,2,,,,,,,"The student presents multiple design ideas (five in total) with brief descriptions and some sketches, indicating an iterative process. However, the descriptions are minimal and lack depth, and the iteration is not clearly documented as a process. The comparison is partially supported by a decision matrix, but the rationale behind weighting and scoring is not fully explained.","The design solution choice is supported by a decision matrix comparing options against weighted design requirements. While this shows some justification, the explanation is limited and does not fully address all design requirements or provide a strong rationale for the final choice.","The plan of action is presented as a weekly schedule with general tasks such as creating CAD files, printing, sharing, revising, and presenting designs. However, it lacks sufficient detail on how testing will be conducted or how effectiveness will be measured, limiting its usefulness for replication or evaluation.","The design blueprint includes sketches and some notes on manufacturing methods and materials, but the details are sparse and incomplete. The sketches are not clearly labeled or thoroughly explained, and the supply list is incomplete, reducing clarity and thoroughness.","This submission demonstrates a solid start in design concept generation and selection (D1, D2) by presenting multiple design ideas and using a decision matrix to compare options. The inclusion of several concepts shows an understanding of exploring alternatives, and the matrix attempts to relate choices to design requirements. However, the descriptions and justifications lack depth and clarity, limiting the strength of the rationale for the chosen design.

Key weaknesses lie in the plan of action (D3) and design blueprint (D4). The testing plan is too general and does not specify how the design will be evaluated or how results will be measured, which hinders reproducibility and assessment of effectiveness. The design blueprint lacks detailed, labeled sketches and comprehensive documentation of materials and manufacturing steps, making it difficult to fully understand or replicate the design.

To improve, the student should provide more detailed explanations of the iterative design process and decision rationale, develop a clear, step-by-step testing plan with measurable criteria, and enhance the design blueprint with labeled, detailed drawings and complete material lists. These improvements will strengthen the overall design documentation and support effective evaluation and replication.",2.5
